url,html_path,text_path,text_length,status,page_type
https://www.deakin.edu.au/course/bachelor-arts-honours-international,data_ingestion/deakin/output/raw_html/course__bachelor-arts-honours-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-arts-honours-international.txt,14124,saved,course
https://www.deakin.edu.au/course/bachelor-arts-international,data_ingestion/deakin/output/raw_html/course__bachelor-arts-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-arts-international.txt,24099,saved,course
https://www.deakin.edu.au/course/bachelor-arts-master-international-relations-international,data_ingestion/deakin/output/raw_html/course__bachelor-arts-master-international-relations-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-arts-master-international-relations-international.txt,19363,saved,course
https://www.deakin.edu.au/course/bachelor-arts-psychology-international,data_ingestion/deakin/output/raw_html/course__bachelor-arts-psychology-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-arts-psychology-international.txt,17843,saved,course
https://www.deakin.edu.au/course/bachelor-biomedical-science-international,data_ingestion/deakin/output/raw_html/course__bachelor-biomedical-science-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-biomedical-science-international.txt,20579,saved,course
https://www.deakin.edu.au/course/bachelor-business-analytics-international,data_ingestion/deakin/output/raw_html/course__bachelor-business-analytics-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-business-analytics-international.txt,16893,saved,course
https://www.deakin.edu.au/course/bachelor-business-international,data_ingestion/deakin/output/raw_html/course__bachelor-business-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-business-international.txt,16517,saved,course
https://www.deakin.edu.au/course/bachelor-business-sport-management-international,data_ingestion/deakin/output/raw_html/course__bachelor-business-sport-management-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-business-sport-management-international.txt,17023,saved,course
https://www.deakin.edu.au/course/bachelor-commerce-international,data_ingestion/deakin/output/raw_html/course__bachelor-commerce-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-commerce-international.txt,19537,saved,course
https://www.deakin.edu.au/course/bachelor-computer-science-erc-institute-international,data_ingestion/deakin/output/raw_html/course__bachelor-computer-science-erc-institute-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-computer-science-erc-institute-international.txt,16156,saved,course
https://www.deakin.edu.au/course/bachelor-cyber-security-erc-institute-international,data_ingestion/deakin/output/raw_html/course__bachelor-cyber-security-erc-institute-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-cyber-security-erc-institute-international.txt,16281,saved,course
